date, aktMined, aktSup, aktVested, aktCirc
9/25/2020,0.00,"100,000,000.00","2,800,000.00","2,800,000.00"
10/25/2020,"4,465,091.14","104,465,091.14","15,271,176.00","19,736,267.14"
11/25/2020,"4,395,994.63","108,861,085.76","15,271,176.00","24,132,261.76"
12/25/2020,"4,327,967.37","113,189,053.13","15,271,176.00","28,460,229.13"
1/25/2021,"4,260,992.83","117,450,045.96","15,271,176.00","32,721,221.96"
2/25/2021,"4,195,054.70","121,645,100.66","15,271,176.00","36,916,276.66"
3/25/2021,"4,130,136.96","125,775,237.61","15,271,176.00","41,046,413.61"
4/25/2021,"4,066,223.80","129,841,461.42","22,742,351.00","52,583,812.42"
5/25/2021,"4,003,299.69","133,844,761.11","22,742,351.00","56,587,112.11"
6/25/2021,"3,941,349.32","137,786,110.44","22,742,351.00","60,528,461.44"
7/25/2021,"3,880,357.63","141,666,468.06","22,742,351.00","64,408,819.06"
8/25/2021,"3,820,309.77","145,486,777.83","22,742,351.00","68,229,128.83"
9/25/2021,"3,761,191.13","149,247,968.96","53,497,745.00","102,745,713.96"
10/25/2021,"3,702,987.35","152,950,956.31","53,497,745.00","106,448,701.31"
11/25/2021,"3,645,684.27","156,596,640.58","53,497,745.00","110,094,385.58"
12/25/2021,"3,589,267.93","160,185,908.51","53,497,745.00","113,683,653.51"
1/25/2022,"3,533,724.63","163,719,633.15","53,497,745.00","117,217,378.15"
2/25/2022,"3,479,040.86","167,198,674.01","53,497,745.00","120,696,419.01"
3/25/2022,"3,425,203.30","170,623,877.31","74,346,618.00","144,970,495.31"
4/25/2022,"3,372,198.88","173,996,076.19","74,346,618.00","148,342,694.19"
5/25/2022,"3,320,014.68","177,316,090.87","74,346,618.00","151,662,708.87"
6/25/2022,"3,268,638.03","180,584,728.90","74,346,618.00","154,931,346.90"
7/25/2022,"3,218,056.42","183,802,785.32","74,346,618.00","158,149,403.32"
8/25/2022,"3,168,257.56","186,971,042.88","74,346,618.00","161,317,660.88"
9/25/2022,"3,119,229.32","190,090,272.21","95,195,490.00","185,285,762.21"
10/25/2022,"3,070,959.79","193,161,231.99","95,195,490.00","188,356,721.99"
11/25/2022,"3,023,437.22","196,184,669.21","95,195,490.00","191,380,159.21"
12/25/2022,"2,976,650.05","199,161,319.27","95,195,490.00","194,356,809.27"
1/25/2023,"2,930,586.91","202,091,906.17","95,195,490.00","197,287,396.17"
2/25/2023,"2,885,236.58","204,977,142.76","95,195,490.00","200,172,632.76"
3/25/2023,"2,840,588.05","207,817,730.80","100,000,000.00","207,817,730.80"
4/25/2023,"2,796,630.44","210,614,361.24","100,000,000.00","210,614,361.24"
